,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
aviation,26.961590461985917,2.995732273553991,5.991464547107982,0.0,2.995732273553991,8.987196820661973,0.0,5.991464547107982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
authorities,2.995732273553991,0.0,0.0,0.0,2.995732273553991,0.0,0.0,0.0,5.991464547107982,2.995732273553991,2.995732273553991,0.0,5.991464547107982,5.991464547107982,0.0,2.995732273553991,0.0,0.0,0.0,0.0,
ground,5.991464547107982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
airline,29.957322735539908,8.987196820661973,2.995732273553991,11.982929094215963,8.987196820661973,11.982929094215963,2.995732273553991,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
safety,14.978661367769954,14.978661367769954,5.991464547107982,5.991464547107982,17.974393641323946,14.978661367769954,11.982929094215963,11.982929094215963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
concerns,5.991464547107982,2.995732273553991,0.0,2.995732273553991,2.995732273553991,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
unprecedented,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
move,2.995732273553991,0.0,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
local,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.991464547107982,0.0,0.0,0.0,0.0,
commercial,2.995732273553991,0.0,0.0,0.0,5.991464547107982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
