,0
aviation,0.0,
authorities,0.0,
ground,0.0,
airline,0.0,
safety,0.0,
concerns,0.0,
unprecedented,0.0,
move,0.0,
local,0.0,
commercial,0.0,
history,0.0,
government,0.0,
decided,0.0,
suspend,0.0,
operations,0.0,
colombian,0.0,
believes,0.0,
meet,0.0,
standards,0.0,
guarantee,0.0,
fact,0.0,
civil,0.0,
aeronautics,0.0,
administrative,0.0,
directorate,0.0,
notified,0.0,
aerorepublica,0.0,
airlines,0.0,
currently,0.0,
ranked,0.0,
third,0.0,
country,0.0,
starting,0.0,
today,0.0,
fly,0.0,
nine,0.0,
dc,0.0,
9,0.0,
jets,0.0,
make,0.0,
fleet,0.0,
will,0.0,
remain,0.0,
grounded,0.0,
least,0.0,
two,0.0,
weeks,0.0,
supplies,0.0,
paperwork,0.0,
documents,0.0,
containing,0.0,
records,0.0,
jet,0.0,
engines,0.0,
bought,0.0,
alitalia,0.0,
company,0.0,
four,0.0,
years,0.0,
ago,0.0,
according,0.0,
director,0.0,
abel,0.0,
enrique,0.0,
jimenez,0.0,
neira,0.0,
achieve,0.0,
certification,0.0,
already,0.0,
granted,0.0,
avianca,0.0,
aces,0.0,
tampa,0.0,
long,0.0,
unable,0.0,
must,0.0,
wait,0.0,
barred,0.0,
flying,0.0,
pass,0.0,
inspection,0.0,
said,0.0,
official,0.0,
noted,0.0,
key,0.0,
issue,0.0,
prompted,0.0,
drastic,0.0,
measure,0.0,
now,0.0,
possibility,0.0,
three,0.0,
depends,0.0,
results,0.0,
inspectors,0.0,
planning,0.0,
next,0.0,
days,0.0,
checked,0.0,
able,0.0,
supply,0.0,
order,0.0,
allowed,0.0,
otherwise,0.0,
like,0.0,
rest,0.0,
met,0.0,
stated,0.0,
can,0.0,
also,0.0,
choose,0.0,
bring,0.0,
planes,0.0,
leased,0.0,
conform,0.0,
international,0.0,
suspension,0.0,
mean,0.0,
problems,0.0,
mechanical,0.0,
failures,0.0,
detected,0.0,
deadline,0.0,
ran,0.0,
yesterday,0.0,
comply,0.0,
certified,0.0,
known,0.0,
started,0.0,
implementing,0.0,
last,0.0,
year,0.0,
recommendation,0.0,
u,0.0,
s,0.0,
federal,0.0,
administration,0.0,
faa,0.0,
compliance,0.0,
set,0.0,
forth,0.0,
organization,0.0,
icao,0.0,
world's,0.0,
top,0.0,
governing,0.0,
industry,0.0,
process,0.0,
consisted,0.0,
operation,0.0,
manuals,0.0,
pilot,0.0,
qualifications,0.0,
maintenance,0.0,
files,0.0,
practices,0.0,
used,0.0,
determine,0.0,
adhering,0.0,
precisely,0.0,
fulfill,0.0,
duty,0.0,
monitoring,0.0,
checks,0.0,
balances,0.0,
respect,0.0,
october,0.0,
1995,0.0,
lower,0.0,
aeronautics's,0.0,
rating,0.0,
category,0.0,
one,0.0,
determining,0.0,
performing,0.0,
safe,0.0,
enough,0.0,
regularly,0.0,
scheduled,0.0,
flights,0.0,
united,0.0,
states,0.0,
began,0.0,
domestic,0.0,
carriers,0.0,
first,0.0,
selected,0.0,
setting,0.0,
submit,0.0,
found,0.0,
deficiencies,0.0,
engine,0.0,
turbines,0.0,
proceeded,0.0,
data,0.0,
